t_dec,ueId,cell,HO_next,ueSinrDb,eveSinrDb,secrecy,outage,ueSinrDb_prev,secrecy_prev,outage_prev,d_ueSinrDb,d_secrecy
4.0,13,3,0,19.9297,2.57695,5.14447,0,11.3476,0.0,1.0,8.5821,5.14447
6.0,13,3,0,20.9422,16.7524,1.37322,0,19.9297,5.14447,0.0,1.0124999999999993,-3.77125
8.0,13,3,0,25.5784,26.8141,0.0,1,20.9422,1.37322,0.0,4.636199999999999,-1.37322
10.0,13,3,0,15.421,11.3857,1.2801,0,25.5784,0.0,1.0,-10.157399999999999,1.2801
12.0,13,3,0,15.1218,18.7126,0.0,1,15.421,1.2801,0.0,-0.299199999999999,-1.2801
14.0,13,3,0,20.8544,10.6983,3.26768,0,15.1218,0.0,1.0,5.732599999999998,3.26768
16.0,13,3,0,9.35879,18.3486,0.0,1,20.8544,3.26768,0.0,-11.495609999999997,-3.26768
18.0,13,3,0,7.312,15.4906,0.0,1,9.35879,0.0,1.0,-2.0467900000000006,0.0
20.0,13,3,0,17.6148,14.0326,1.15884,0,7.312,0.0,1.0,10.302799999999998,1.15884
22.0,13,3,0,0.630158,-4.54146,0.67396,0,17.6148,1.15884,0.0,-16.984641999999997,-0.4848800000000001
24.0,13,3,0,2.437,16.2739,0.0,1,0.630158,0.67396,0.0,1.8068419999999998,-0.67396
26.0,13,3,0,3.32805,23.5317,0.0,1,2.437,0.0,1.0,0.8910500000000003,0.0
28.0,13,3,0,14.4133,12.8537,0.496481,0,3.32805,0.0,1.0,11.085249999999998,0.496481
30.0,13,3,0,7.91753,18.2506,0.0,1,14.4133,0.496481,0.0,-6.495769999999999,-0.496481
32.0,13,3,0,20.0299,13.0128,2.27496,0,7.91753,0.0,1.0,12.112370000000002,2.27496
34.0,13,3,0,9.64733,14.4039,0.0,1,20.0299,2.27496,0.0,-10.382570000000001,-2.27496
36.0,13,3,0,11.8143,6.48396,1.57027,0,9.64733,0.0,1.0,2.166969999999999,1.57027
4.0,14,3,0,15.8889,2.57695,3.82427,0,22.0829,0.0,1.0,-6.193999999999999,3.82427
6.0,14,3,0,21.8902,16.7524,1.68589,0,15.8889,3.82427,0.0,6.0013000000000005,-2.1383799999999997
8.0,14,3,0,29.3447,26.8141,0.839322,0,21.8902,1.68589,0.0,7.4544999999999995,-0.8465680000000001
10.0,14,3,0,18.1861,11.3857,2.17958,0,29.3447,0.839322,0.0,-11.1586,1.340258
12.0,14,3,0,18.1661,18.7126,0.0,1,18.1861,2.17958,0.0,-0.019999999999999574,-2.17958
14.0,14,3,0,5.48992,10.6983,0.0,1,18.1661,0.0,1.0,-12.67618,0.0
16.0,14,3,0,36.0261,18.3486,5.85174,0,5.48992,0.0,1.0,30.53618,5.85174
18.0,14,3,0,20.3917,15.4906,1.60105,0,36.0261,5.85174,0.0,-15.6344,-4.2506900000000005
20.0,14,3,0,24.7454,14.0326,3.50765,0,20.3917,1.60105,0.0,4.3537,1.9065999999999999
22.0,14,3,0,19.8309,-4.54146,6.16811,0,24.7454,3.50765,0.0,-4.9145,2.6604600000000005
24.0,14,3,0,31.8606,16.2739,5.1451,0,19.8309,6.16811,0.0,12.029700000000002,-1.0230100000000002
